Employee_ID,Age,Gender,Department,Job_Role,City,Education,Employment_Type,Experience_Years,Salary,Joining_Date,Tenure_Years,Performance_Rating,Job_Satisfaction,Overtime,Monthly_Work_Hours,Leave_Days,Absent_Days,Manager_ID,Attrition
E00016,24,Female,Sales,Sales Executive,Lucknow,Bachelor's,Full-Time,0,67000,2026-06-20,0.2,3.0,4.0,No,171,7.0,2,M047,No
E00017,26,Male,Sales,Sales Manager,Bangalore,Bachelor's,Full-Time,5,69000,2022-09-01,4.0,4.0,3.0,Yes,176,6.0,4,M011,No
E00018,46,Male,HR,Recruiter,Delhi,Bachelor's,Full-Time,26,171000,2009-06-20,17.2,5.0,4.0,No,174,16.0,2,M101,No
E00019,34,Female,Finance,Financial Analyst,Pune,Master's,Full-Time,12,123000,2019-06-21,7.2,2.0,4.0,No,190,8.0,6,M034,No
E00020,32,Male,Sales,Sales Executive,Pune,MBA,Full-Time,16,152000,2013-12-20,12.7,3.0,2.0,Yes,160,7.0,8,M118,No
E00021,26,Male,Operations,Process Associate,Pune,Master's,Full-Time,2,72000,2025-07-27,1.1,2.0,2.0,No,183,8.0,5,M071,No
E00022,37,Male,IT,IT Support,Bangalore,Bachelor's,Full-Time,14,141000,2019-12-20,6.7,3.0,3.0,No,146,5.0,4,M103,No
E00023,38,Male,Sales,Sales Executive,Mumbai,PhD,Contract,15,107000,2017-04-08,9.4,3.0,2.0,No,163,7.0,0,M029,Yes
E00024,26,Female,Finance,Accountant,Delhi,Master's,Full-Time,4,103000,2023-07-27,3.1,4.0,4.0,Yes,157,12.0,4,M097,No
E00025,33,Male,Finance,Finance Manager,Chennai,MBA,Full-Time,10,141000,2022-01-25,4.6,4.0,4.0,Yes,170,4.0,5,M049,No
E00026,32,Female,Marketing,Marketing Executive,Mumbai,Master's,Full-Time,6,88000,2022-07-27,4.1,3.0,3.0,No,162,4.0,7,M120,No
E00027,36,Male,Sales,Sales Executive,Mumbai,Bachelor's,Contract,13,94000,2017-10-08,8.9,3.0,4.0,Yes,188,10.0,10,M091,No
E00028,26,Male,HR,HR Executive,Lucknow,Bachelor's,Part-Time,4,72000,2023-05-15,3.3,2.0,3.0,Yes,152,5.0,6,M016,No
E00029,43,Female,Operations,Process Associate,Bangalore,Master's,Full-Time,24,168000,2013-01-25,13.6,4.0,3.0,No,137,5.0,3,M081,No
E00030,40,Male,IT,Data Analyst,Lucknow,Bachelor's,Full-Time,24,173000,2013-03-03,13.5,4.0,3.0,No,144,9.0,6,M075,No
E00031,31,Male,Operations,Process Associate,Pune,Bachelor's,Full-Time,12,115000,2019-03-03,7.5,4.0,4.0,No,186,10.0,3,M014,No
E00032,32,Male,IT,Data Analyst,Chennai,Master's,Contract,8,90000,2021-12-20,4.7,4.0,4.0,No,151,8.0,3,M013,No
E00033,33,Male,IT,Data Engineer,Mumbai,Master's,Part-Time,9,58000,2019-12-20,6.7,2.0,2.0,No,175,9.0,2,M035,Yes
E00034,29,Male,Customer Support,Customer Success Associate,Bangalore,Master's,Part-Time,7,66000,2021-10-08,4.9,3.0,4.0,No,163,8.0,4,M090,No
E00035,31,Female,Customer Support,Team Lead,Chennai,Bachelor's,Full-Time,13,89000,2016-11-13,9.8,5.0,5.0,No,183,5.0,8,M052,Yes
E00036,32,Female,Marketing,Brand Executive,Noida,Bachelor's,Full-Time,10,101000,2018-11-14,7.8,3.0,2.0,Yes,164,6.0,5,M025,No
E00037,45,Female,Sales,Account Manager,Chennai,Master's,Part-Time,20,107000,2010-04-08,16.4,5.0,4.0,Yes,218,18.0,2,M104,No
E00038,41,Male,IT,BI Analyst,Bangalore,PhD,Full-Time,18,162000,2015-06-21,11.2,4.0,4.0,Yes,202,9.0,2,M108,No
E00039,41,Male,Operations,Process Associate,Chennai,Master's,Full-Time,21,149000,2008-12-20,17.7,4.0,4.0,No,162,7.0,5,M107,No
E00040,37,Male,Finance,Accountant,Chennai,MBA,Full-Time,17,159000,2017-07-27,9.1,3.0,4.0,No,160,6.0,4,M059,No
E00041,26,Male,IT,Data Engineer,Pune,MBA,Contract,3,68000,2024-06-20,2.2,2.0,5.0,Yes,224,10.0,3,M076,No
E00042,34,Male,Finance,Finance Manager,Chennai,Master's,Full-Time,14,125000,2017-05-15,9.3,4.0,4.0,No,149,11.0,5,M111,No
E00043,41,Male,IT,Data Engineer,Noida,Bachelor's,Full-Time,13,129000,2016-07-26,10.1,4.0,3.0,Yes,167,4.0,4,M117,No
E00044,25,Other,Customer Support,Support Analyst,Pune,Master's,Full-Time,3,72000,2024-10-08,1.9,3.0,4.0,No,168,8.0,3,M068,No
E00045,38,Male,Sales,Sales Executive,Bangalore,Master's,Full-Time,18,135000,2012-12-20,13.7,3.0,4.0,No,168,14.0,6,M042,No
E00046,50,Male,Operations,Operations Executive,Hyderabad,Master's,Full-Time,26,182000,2008-09-01,18.0,4.0,1.0,No,137,9.0,5,M048,No
E00047,41,Female,Sales,Account Manager,Bangalore,Bachelor's,Full-Time,17,138000,2014-01-25,12.6,5.0,4.0,Yes,177,6.0,2,M105,No
E00048,44,Male,HR,HR Executive,Delhi,Master's,Full-Time,17,137000,2013-10-08,12.9,5.0,4.0,Yes,151,4.0,5,M113,No
E00049,36,Female,HR,HR Analyst,Delhi,Bachelor's,Full-Time,18,133000,2018-01-25,8.6,4.0,4.0,Yes,194,8.0,3,M091,No
E00050,41,Female,Sales,Sales Executive,Bangalore,Bachelor's,Contract,17,108000,2017-09-01,9.0,2.0,3.0,No,142,6.0,3,M118,No
E00051,29,Female,Customer Support,Team Lead,Delhi,Bachelor's,Full-Time,8,96000,2019-12-20,6.7,4.0,4.0,No,169,8.0,4,M045,No
E00052,40,Male,Operations,Operations Executive,Bangalore,MBA,Full-Time,20,151000,2012-03-02,14.5,4.0,3.0,No,128,3.0,9,M072,No
E00053,39,Female,Customer Support,Support Executive,Chennai,Bachelor's,Contract,21,115000,2012-06-20,14.2,5.0,5.0,No,129,3.0,0,M119,No
E00054,36,Male,Customer Support,Team Lead,Lucknow,Bachelor's,Full-Time,14,116000,2018-04-08,8.4,4.0,5.0,No,153,5.0,2,M072,No
E00055,43,Female,Operations,Process Associate,Bangalore,Bachelor's,Full-Time,20,150000,2017-04-08,9.4,3.0,2.0,No,155,10.0,4,M029,No
E00056,30,Male,Customer Support,Support Analyst,Lucknow,Master's,Full-Time,8,95000,2021-11-13,4.8,3.0,2.0,No,194,5.0,7,M003,No
E00057,33,Male,IT,BI Analyst,Hyderabad,Bachelor's,Full-Time,14,123000,2017-07-27,9.1,5.0,4.0,Yes,167,6.0,4,M021,No
E00058,35,Male,Sales,Sales Manager,Mumbai,Bachelor's,Full-Time,13,112000,2019-10-08,6.9,3.0,3.0,No,191,13.0,2,M031,No
E00059,27,Male,IT,Data Analyst,Bangalore,Master's,Full-Time,3,97000,2025-01-25,1.6,2.0,4.0,No,161,4.0,4,M013,No
E00060,36,Female,Sales,Account Manager,Hyderabad,Bachelor's,Full-Time,10,120000,2020-03-02,6.5,2.0,2.0,No,179,8.0,5,M095,No
E00061,22,Female,Finance,Finance Manager,Chennai,MBA,Full-Time,0,76000,2026-06-20,0.2,2.0,2.0,Yes,155,11.0,2,M081,No
E00062,41,Female,Sales,Business Development Executive,Pune,MBA,Full-Time,21,169000,2015-03-03,11.5,4.0,2.0,Yes,154,13.0,5,M048,No
E00063,34,Male,Marketing,Marketing Executive,Bangalore,Bachelor's,Full-Time,11,106000,2019-03-03,7.5,4.0,5.0,No,135,12.0,4,M096,No
E00064,30,Female,Sales,Business Development Executive,Bangalore,Bachelor's,Full-Time,6,88000,2021-10-08,4.9,2.0,3.0,Yes,174,14.0,3,M024,No
E00065,28,Male,Sales,Sales Manager,Delhi,Master's,Full-Time,4,101000,2024-01-26,2.6,4.0,3.0,No,173,8.0,3,M002,No
E00066,32,Female,HR,Recruiter,Mumbai,Bachelor's,Full-Time,10,109000,2018-10-08,7.9,2.0,2.0,No,182,6.0,6,M106,No
E00067,39,Female,IT,Data Engineer,Mumbai,Bachelor's,Full-Time,16,128000,2013-07-27,13.1,5.0,3.0,No,172,9.0,3,M003,No
E00068,38,Male,Marketing,Brand Executive,Mumbai,Bachelor's,Full-Time,15,121000,2019-05-15,7.3,5.0,4.0,No,204,8.0,5,M026,Yes
E00069,29,Female,IT,BI Analyst,Chennai,MBA,Full-Time,10,137000,2021-10-08,4.9,3.0,2.0,No,171,9.0,3,M002,No
E00070,28,Male,Customer Support,Team Lead,Lucknow,Bachelor's,Part-Time,10,60000,2020-04-08,6.4,2.0,3.0,No,186,3.0,6,M033,No
E00071,39,Male,Operations,Operations Analyst,Delhi,Master's,Contract,13,85000,2017-10-08,8.9,3.0,5.0,No,162,10.0,5,M034,No
E00072,29,Male,Sales,Sales Manager,Noida,Master's,Full-Time,8,97000,2021-09-01,5.0,3.0,3.0,No,152,4.0,4,M090,No
E00073,34,Male,IT,IT Support,Mumbai,Bachelor's,Full-Time,10,120000,2020-11-13,5.8,2.0,2.0,No,181,7.0,7,M098,No
E00074,35,Female,Marketing,Marketing Executive,Delhi,Bachelor's,Full-Time,12,122000,2018-03-03,8.5,4.0,4.0,No,166,8.0,4,M038,No
E00075,36,Male,Operations,Process Associate,Mumbai,PhD,Contract,15,109000,2019-11-14,6.8,3.0,2.0,No,183,2.0,3,M078,Yes
E00076,40,Male,Operations,Operations Executive,Pune,Bachelor's,Full-Time,17,152000,2012-06-20,14.2,3.0,5.0,No,174,5.0,4,M095,No
E00077,25,Male,Operations,Process Associate,Lucknow,Master's,Full-Time,4,91000,2024-06-20,2.2,3.0,4.0,Yes,154,11.0,4,M020,Yes
E00078,21,Female,IT,Software Engineer,Hyderabad,Bachelor's,Full-Time,1,74000,2025-11-13,0.8,2.0,3.0,No,187,7.0,5,M010,No
E00079,30,Female,Sales,Account Manager,Delhi,Bachelor's,Full-Time,9,92000,2022-04-08,4.4,5.0,3.0,Yes,152,6.0,4,M084,No
E00080,47,Female,IT,Data Analyst,Pune,Bachelor's,Contract,23,123000,2014-03-03,12.5,4.0,3.0,No,179,5.0,8,M033,No
E00081,48,Female,Marketing,Marketing Manager,Bangalore,Bachelor's,Full-Time,24,167000,2013-07-27,13.1,4.0,3.0,No,191,7.0,4,M045,No
E00082,47,Male,Operations,Process Associate,Noida,Bachelor's,Full-Time,21,142000,2008-11-13,17.8,4.0,4.0,Yes,161,10.0,7,M112,No
E00083,33,Male,Sales,Business Development Executive,Hyderabad,MBA,Full-Time,9,127000,2022-07-27,4.1,4.0,5.0,No,189,14.0,7,M060,No
E00084,22,Male,IT,Software Engineer,Delhi,Bachelor's,Full-Time,5,106000,2023-03-03,3.5,3.0,2.0,Yes,175,10.0,9,M066,No
E00085,21,Male,Sales,Sales Manager,Hyderabad,Bachelor's,Full-Time,0,68000,2026-06-20,0.2,3.0,4.0,No,183,9.0,6,M110,No
E00086,30,Female,Sales,Business Development Executive,Pune,Bachelor's,Full-Time,5,72000,2023-01-26,3.6,3.0,4.0,Yes,153,8.0,6,M061,No
E00087,33,Male,Operations,Process Associate,Bangalore,MBA,Full-Time,12,114000,2019-07-27,7.1,4.0,3.0,No,172,8.0,8,M051,No
E00088,43,Female,Operations,Operations Manager,Pune,Bachelor's,Full-Time,21,158000,2009-03-03,17.5,4.0,3.0,No,143,10.0,5,M012,No
E00089,40,Male,Customer Support,Support Executive,Mumbai,Master's,Full-Time,18,132000,2012-03-02,14.5,4.0,4.0,No,199,8.0,3,M080,No
E00090,36,Male,Finance,Audit Associate,Pune,Bachelor's,Full-Time,18,154000,2015-06-21,11.2,3.0,2.0,Yes,132,6.0,6,M009,Yes
E00091,28,Male,IT,BI Analyst,Chennai,Bachelor's,Full-Time,7,106000,2021-11-13,4.8,3.0,4.0,No,162,11.0,2,M011,No
E00092,27,Female,Operations,Process Associate,Chennai,Bachelor's,Full-Time,4,75000,2023-05-15,3.3,3.0,2.0,No,151,14.0,3,M021,No
E00093,36,Female,Operations,Operations Analyst,Hyderabad,MBA,Full-Time,13,118000,2015-09-02,11.0,4.0,4.0,No,180,8.0,7,,Yes
E00094,39,Female,HR,HR Analyst,Hyderabad,Bachelor's,Part-Time,16,78000,2016-07-26,10.1,4.0,4.0,No,203,10.0,6,M068,No
E00095,37,Male,Operations,Operations Analyst,Bangalore,Bachelor's,Full-Time,17,131000,2013-04-08,13.4,4.0,3.0,No,180,10.0,2,M026,No
E00096,27,Other,Finance,Finance Manager,Chennai,Bachelor's,Full-Time,4,94000,2024-05-14,2.3,3.0,3.0,No,221,10.0,1,M063,No
E00097,39,Male,HR,HR Executive,Mumbai,MBA,Full-Time,13,119000,2018-11-14,7.8,3.0,4.0,No,143,13.0,1,M019,No
E00098,37,Male,Finance,Accountant,Hyderabad,Bachelor's,Full-Time,15,129000,2018-12-20,7.7,4.0,3.0,No,145,9.0,3,M106,Yes
E00099,27,Other,IT,IT Support,Mumbai,Bachelor's,Full-Time,1,77000,2026-03-03,0.5,3.0,3.0,No,152,10.0,3,M111,No
E00100,29,Male,IT,BI Analyst,Bangalore,Bachelor's,Full-Time,12,128000,2018-01-25,8.6,4.0,3.0,No,170,9.0,1,M017,No
E00101,39,Female,IT,IT Support,Pune,Bachelor's,Contract,15,97000,2016-11-13,9.8,4.0,4.0,No,150,4.0,3,M044,No
E00102,32,Male,Operations,Operations Executive,Bangalore,Master's,Full-Time,10,97000,2021-04-08,5.4,3.0,3.0,Yes,154,8.0,5,M061,Yes
E00103,45,Male,Sales,Sales Manager,Chennai,Master's,Contract,24,140000,2011-12-20,14.7,5.0,3.0,No,179,4.0,3,M001,No
E00104,38,Female,HR,HR Executive,Mumbai,Bachelor's,Full-Time,15,109000,2017-09-01,9.0,4.0,3.0,No,146,10.0,4,M112,No
E00105,31,Male,Customer Support,Support Analyst,Bangalore,Bachelor's,Full-Time,8,97000,2019-11-14,6.8,5.0,5.0,No,148,5.0,3,M072,No
E00106,34,Female,Sales,Account Manager,Hyderabad,Bachelor's,Full-Time,13,115000,2016-05-14,10.3,3.0,3.0,No,161,4.0,4,M058,No
E00107,34,Male,Finance,Audit Associate,Bangalore,Bachelor's,Full-Time,16,121000,2016-12-20,9.7,4.0,4.0,No,163,10.0,7,M094,No
E00108,29,Female,Operations,Operations Analyst,Mumbai,Bachelor's,Full-Time,9,91000,2019-05-15,7.3,3.0,3.0,No,186,12.0,3,M115,Yes
E00109,28,Male,Sales,Account Manager,Pune,MBA,Full-Time,10,119000,2020-10-08,5.9,2.0,3.0,Yes,152,6.0,1,M041,No
E00110,39,Male,IT,Software Engineer,Bangalore,PhD,Full-Time,14,144000,2016-09-01,10.0,3.0,3.0,Yes,155,8.0,3,M024,No
E00111,40,Male,Sales,Sales Manager,Noida,PhD,Full-Time,19,160000,2010-10-08,15.9,5.0,5.0,No,178,6.0,3,M043,No
E00112,38,Male,IT,Data Engineer,Bangalore,MBA,Full-Time,16,158000,2016-12-20,9.7,3.0,3.0,No,182,12.0,2,M081,No
E00113,45,Female,Customer Support,Customer Success Associate,Mumbai,Master's,Full-Time,24,160000,2009-05-15,17.3,2.0,2.0,No,194,4.0,4,M118,No
E00114,30,Male,Marketing,Brand Executive,Chennai,Master's,Full-Time,11,110000,2020-05-14,6.3,3.0,3.0,No,176,12.0,3,M094,No
E00115,46,Male,Operations,Operations Analyst,Mumbai,Bachelor's,Full-Time,23,152000,2013-11-13,12.8,3.0,1.0,No,170,4.0,6,M105,No
E00116,28,Male,Customer Support,Team Lead,Bangalore,Master's,Full-Time,5,95000,2023-04-09,3.4,3.0,4.0,Yes,178,13.0,4,M116,No
E00117,27,Male,Marketing,Marketing Manager,Delhi,Bachelor's,Full-Time,6,103000,2021-07-27,5.1,4.0,2.0,Yes,163,4.0,4,M107,Yes
E00118,22,Female,Sales,Account Manager,Mumbai,Bachelor's,Full-Time,0,44000,2026-06-20,0.2,3.0,3.0,No,163,12.0,3,M009,No
E00119,31,Female,Customer Support,Customer Success Associate,Noida,MBA,Full-Time,8,107000,2020-01-26,6.6,4.0,3.0,No,136,3.0,4,M066,No
E00120,30,Male,HR,HR Executive,Mumbai,Bachelor's,Full-Time,8,96000,2020-03-02,6.5,3.0,3.0,Yes,184,8.0,3,M090,No
E00121,38,Female,Marketing,Digital Marketing Analyst,Chennai,Bachelor's,Full-Time,14,130000,2018-12-20,7.7,3.0,4.0,No,172,10.0,8,M032,No
E00122,36,Male,Customer Support,Customer Success Associate,Noida,MBA,Full-Time,17,130000,2016-04-08,10.4,3.0,5.0,No,182,10.0,7,M091,No
E00123,26,Male,Sales,Sales Executive,Delhi,Bachelor's,Part-Time,1,30000,2025-12-20,0.7,2.0,1.0,No,120,11.0,4,M041,No
E00124,31,Female,IT,Software Engineer,Noida,Bachelor's,Full-Time,9,115000,2020-10-08,5.9,3.0,4.0,No,167,6.0,2,M011,No
E00125,31,Male,Sales,Account Manager,Delhi,MBA,Full-Time,10,108000,2021-10-08,4.9,2.0,3.0,Yes,153,7.0,3,M065,Yes
E00126,22,Female,Finance,Accountant,Lucknow,Master's,Full-Time,3,77000,2024-03-02,2.5,4.0,3.0,Yes,195,8.0,2,M116,No
E00127,27,Female,Marketing,Digital Marketing Analyst,Bangalore,Master's,Full-Time,5,81000,2022-11-14,3.8,2.0,3.0,Yes,179,6.0,7,M101,No
E00128,29,Male,Marketing,Brand Executive,Pune,Bachelor's,Part-Time,9,68000,2021-01-25,5.6,4.0,3.0,Yes,172,6.0,1,M018,No
E00129,44,Female,IT,Data Analyst,Hyderabad,Bachelor's,Full-Time,24,174000,2009-12-20,16.7,5.0,5.0,No,160,11.0,1,M118,No
E00130,35,Female,HR,Recruiter,Delhi,MBA,Full-Time,13,134000,2020-05-14,6.3,4.0,3.0,No,175,9.0,2,M008,No
E00131,39,Male,Finance,Finance Manager,Pune,Master's,Contract,14,112000,2017-07-27,9.1,3.0,3.0,Yes,151,9.0,4,M027,No
E00132,24,Male,Sales,Sales Executive,Pune,Bachelor's,Full-Time,0,58000,2026-06-20,0.2,2.0,4.0,No,166,5.0,2,M082,No
E00133,42,Male,IT,Data Analyst,Bangalore,Bachelor's,Full-Time,20,155000,2010-06-20,16.2,3.0,5.0,No,158,6.0,3,M009,No
E00134,43,Other,Sales,Account Manager,Bangalore,Bachelor's,Full-Time,20,141000,2014-12-20,11.7,4.0,4.0,No,209,7.0,6,M002,No
E00135,21,Female,Customer Support,Team Lead,Pune,PhD,Full-Time,1,72000,2025-12-20,0.7,3.0,1.0,No,194,11.0,4,M081,No
E00136,29,Male,Sales,Sales Manager,Pune,Bachelor's,Full-Time,9,91000,2020-01-26,6.6,3.0,3.0,No,187,6.0,13,M075,No
E00137,37,Male,HR,HR Manager,Lucknow,Master's,Full-Time,15,136000,2017-11-13,8.8,4.0,4.0,No,141,6.0,6,M046,No
E00138,39,Female,Operations,Operations Analyst,Chennai,Bachelor's,Full-Time,14,126000,2019-12-20,6.7,5.0,4.0,No,184,12.0,3,M070,No
E00139,29,Male,Finance,Finance Manager,Lucknow,Master's,Full-Time,8,103000,2021-06-20,5.2,3.0,4.0,Yes,171,3.0,5,M005,No
E00140,32,Male,Customer Support,Team Lead,Pune,MBA,Full-Time,7,105000,2021-11-13,4.8,3.0,3.0,No,190,7.0,5,M012,No
E00141,30,Male,Customer Support,Support Analyst,Mumbai,Master's,Full-Time,6,87000,2023-12-20,2.7,2.0,4.0,No,174,7.0,5,M044,Yes
E00142,35,Male,Sales,Account Manager,Bangalore,Bachelor's,Full-Time,11,110000,2021-04-08,5.4,3.0,2.0,Yes,168,8.0,5,M042,Yes
E00143,42,Male,Finance,Finance Manager,Chennai,Master's,Contract,20,110000,2015-12-20,10.7,4.0,5.0,No,172,7.0,5,M099,No
E00144,29,Male,Sales,Account Manager,Pune,MBA,Full-Time,10,100000,2020-10-08,5.9,4.0,5.0,Yes,135,7.0,7,M115,No
E00145,41,Male,Sales,Business Development Executive,Bangalore,Bachelor's,Full-Time,19,143000,2013-12-20,12.7,3.0,2.0,No,154,5.0,6,M088,No
E00146,29,Female,IT,BI Analyst,Delhi,MBA,Full-Time,6,116000,2023-04-09,3.4,3.0,2.0,No,175,8.0,6,M030,No
E00147,28,Male,Operations,Operations Executive,Lucknow,Master's,Full-Time,2,69000,2025-07-27,1.1,3.0,4.0,No,189,8.0,1,M052,Yes
E00148,40,Male,HR,Recruiter,Hyderabad,MBA,Full-Time,19,167000,2011-06-21,15.2,4.0,3.0,No,158,8.0,7,M081,No
E00149,40,Male,IT,Data Engineer,Delhi,Master's,Part-Time,16,98000,2018-07-27,8.1,4.0,3.0,No,167,7.0,5,M047,No
E00150,40,Male,Sales,Sales Executive,Delhi,Bachelor's,Full-Time,18,129000,2014-12-20,11.7,2.0,4.0,No,139,6.0,5,M036,No
E00151,25,Male,Customer Support,Support Executive,Mumbai,Bachelor's,Part-Time,2,38000,2024-12-20,1.7,3.0,4.0,No,194,9.0,3,M070,No
E00152,31,Male,Sales,Sales Executive,Delhi,Bachelor's,Full-Time,11,130000,2018-12-20,7.7,4.0,5.0,Yes,188,6.0,2,M032,No
E00153,40,Male,IT,Software Engineer,Delhi,MBA,Full-Time,18,148000,2013-05-15,13.3,3.0,3.0,No,180,8.0,4,M098,No
E00154,34,Female,Finance,Finance Manager,Bangalore,MBA,Full-Time,12,135000,2019-03-03,7.5,3.0,3.0,No,175,11.0,3,M044,No
E00155,26,Female,Customer Support,Support Executive,Chennai,Master's,Full-Time,5,79000,2024-05-14,2.3,3.0,3.0,No,196,7.0,2,M016,No
E00156,37,Female,Sales,Sales Manager,Delhi,Bachelor's,Full-Time,20,152000,2012-06-20,14.2,4.0,4.0,No,154,10.0,5,M071,No
E00157,29,Female,Operations,Operations Manager,Chennai,Bachelor's,Full-Time,9,107000,2020-05-14,6.3,3.0,3.0,No,152,12.0,3,M096,Yes
E00158,47,Female,Operations,Process Associate,Noida,MBA,Full-Time,25,172000,2014-04-08,12.4,4.0,4.0,Yes,187,8.0,8,M017,No
E00159,45,Male,Sales,Sales Manager,Mumbai,Bachelor's,Contract,23,134000,2012-01-26,14.6,3.0,2.0,No,186,12.0,6,M032,No
E00160,38,Female,Operations,Operations Analyst,Pune,Bachelor's,Full-Time,15,141000,2014-06-20,12.2,4.0,4.0,Yes,147,12.0,5,M014,No
E00161,44,Male,Finance,Accountant,Delhi,Master's,Full-Time,20,162000,2016-01-26,10.6,4.0,2.0,Yes,158,11.0,9,M026,No
E00162,34,Female,Operations,Operations Executive,Noida,Bachelor's,Full-Time,11,111000,2019-09-02,7.0,5.0,3.0,Yes,198,9.0,5,M073,Yes
E00163,39,Female,Operations,Operations Manager,Mumbai,Bachelor's,Full-Time,15,116000,2017-03-03,9.5,3.0,3.0,No,175,8.0,5,M013,No
E00164,44,Male,HR,Recruiter,Pune,Bachelor's,Full-Time,24,161000,2008-09-01,18.0,3.0,1.0,No,182,6.0,1,M114,Yes
E00165,36,Male,IT,Data Analyst,Hyderabad,Bachelor's,Contract,11,91000,2018-01-25,8.6,3.0,4.0,Yes,147,3.0,4,M089,No
E00166,32,Male,Marketing,Digital Marketing Analyst,Mumbai,PhD,Full-Time,13,143000,2016-11-13,9.8,4.0,2.0,Yes,180,3.0,2,M012,Yes
E00167,22,Female,Sales,Sales Manager,Bangalore,Bachelor's,Full-Time,2,81000,2025-06-20,1.2,1.0,3.0,No,142,6.0,3,M045,No
E00168,33,Female,Sales,Account Manager,Pune,Bachelor's,Full-Time,11,107000,2021-05-15,5.3,3.0,2.0,No,132,2.0,3,M016,No
E00169,40,Female,IT,Data Engineer,Chennai,Bachelor's,Full-Time,18,161000,2016-01-26,10.6,4.0,3.0,No,181,3.0,4,M113,No
E00170,41,Male,Operations,Operations Manager,Mumbai,MBA,Full-Time,18,159000,2013-09-01,13.0,3.0,4.0,No,194,14.0,7,M094,No
E00171,38,Female,Operations,Operations Analyst,Pune,Bachelor's,Full-Time,17,137000,2014-04-08,12.4,5.0,5.0,No,163,7.0,5,M052,No
E00172,30,Male,IT,BI Analyst,Delhi,Master's,Full-Time,11,123000,2017-06-20,9.2,3.0,3.0,No,158,9.0,1,M021,No
E00173,21,Female,HR,HR Analyst,Pune,Bachelor's,Full-Time,0,54000,2026-06-20,0.2,2.0,1.0,No,199,7.0,5,M024,Yes
E00174,31,Male,Sales,Account Manager,Bangalore,Bachelor's,Full-Time,5,76000,2023-03-03,3.5,4.0,5.0,No,164,6.0,7,M043,No
E00175,32,Male,Operations,Operations Executive,Noida,Bachelor's,Full-Time,12,117000,2018-09-01,8.0,5.0,4.0,No,167,11.0,3,M005,No
E00176,32,Male,IT,BI Analyst,Mumbai,MBA,Full-Time,11,119000,2021-01-25,5.6,4.0,4.0,No,198,4.0,3,M111,No
E00177,38,Female,Operations,Operations Manager,Delhi,MBA,Full-Time,13,131000,2018-06-20,8.2,4.0,4.0,No,162,8.0,5,M033,No
E00178,48,Female,Finance,Finance Manager,Bangalore,Bachelor's,Full-Time,24,159000,2010-09-01,16.0,5.0,2.0,Yes,156,5.0,2,M113,No
E00179,35,Male,Customer Support,Customer Success Associate,Bangalore,Master's,Full-Time,11,115000,2017-07-27,9.1,3.0,3.0,No,183,12.0,3,M031,No
